labels	quotes	stats	but	adj	advs	negations	survey	averagesent	proper	report	conj	comparative	superlat	questions	meme	personal	mon	modal	statives	strah	udivlen	zol	jdu	fu	ura	negati	positi	grustno	doverie	abstract_nouns	assertion_words	discourse_markers	claims	modality_words	cons	reas	purp	relat	tim	cond	passive	lentok
real_0903222_3.tsv	1	0	0	5	6	0	1	18.083333333333332	7	0	6	0	0	0	0	0	0	1	11	9	5	6	4	0	4	10	8	1	1	2	0	0	2	3	0	0	1	6	0	0	4	217
real_0903222_3.tsv	2	0	0	7	5	1	0	21	14	0	13	0	1	0	0	1	0	1	10	11	1	5	5	2	6	15	18	3	9	16	0	0	3	2	0	1	0	2	0	0	1	210
real_0903222_3.tsv	0	0	0	19	10	3	0	17.466666666666665	4	1	19	1	0	0	0	2	0	1	16	12	8	4	14	1	7	18	13	6	4	6	0	0	1	0	0	1	0	5	1	1	0	262
real_0903222_3.tsv	6	0	0	16	16	1	0	20.375	18	1	16	2	3	0	0	0	0	0	19	12	6	9	8	5	5	21	15	11	6	5	0	0	0	1	0	1	0	2	1	0	2	326
real_0903222_3.tsv	3	0	0	14	11	1	0	29.142857142857142	21	4	19	3	3	0	0	3	0	2	36	11	8	8	20	2	18	21	33	13	22	10	0	0	1	3	0	1	0	8	1	1	1	408
real_0903222_2.tsv	14	0	0	87	51	6	3	19.97142857142857	127	15	49	8	1	0	0	4	0	8	77	42	13	35	20	9	10	92	51	35	24	3	8	0	14	3	1	1	5	6	5	1	9	1398
real_0903222_2.tsv	52	0	0	277	139	23	6	35.904347826086955	383	44	109	30	8	0	2	10	0	16	224	134	49	98	84	35	39	225	164	78	82	120	13	3	41	10	0	3	9	40	9	2	22	4129
real_0903222_2.tsv	40	1	0	292	130	16	1	26.719745222929937	412	40	92	29	10	1	0	1	0	12	228	118	41	109	92	28	38	248	180	89	120	69	10	4	37	33	0	0	15	28	7	6	25	4195
real_0903222_2.tsv	38	0	0	177	93	9	2	21.633587786259543	261	48	81	12	6	0	0	6	0	6	149	105	33	80	53	26	28	160	101	68	52	36	6	2	34	8	0	1	7	13	4	4	20	2834
real_0903222_2.tsv	41	0	0	160	106	10	0	18.04964539007092	229	32	66	16	3	2	0	5	0	8	137	74	18	59	35	18	15	134	79	48	38	56	3	0	18	7	0	3	12	16	6	1	12	2545
real_0903222_2.tsv	51	0	0	211	124	29	0	22.013245033112582	300	19	83	28	7	1	0	6	0	7	164	107	32	99	50	26	20	192	119	65	72	69	5	3	24	14	0	0	5	21	12	6	16	3324
real_0903222_2.tsv	6	0	0	48	10	2	0	32.411764705882355	55	5	17	4	3	0	0	0	0	3	35	15	4	10	4	1	2	31	29	7	21	4	0	0	4	3	0	0	2	4	5	2	4	551
real_0903222_2.tsv	62	2	0	325	144	26	1	25.554285714285715	425	45	109	23	10	1	1	12	1	12	266	129	51	117	78	36	38	250	157	98	99	117	6	1	44	24	0	2	9	36	7	3	28	4472
real_0903222_2.tsv	63	0	0	317	210	16	2	19.402489626556015	420	52	102	45	9	0	0	5	0	6	212	165	44	138	70	32	35	262	171	98	95	98	7	2	41	11	1	3	12	37	8	0	29	4676
real_0903222_2.tsv	6	0	0	20	10	2	0	26.666666666666668	18	3	14	1	0	0	0	1	3	3	14	4	2	3	7	6	3	25	16	2	8	0	0	0	2	1	0	0	0	5	1	2	1	320
real_0903222_2.tsv	3	0	0	16	16	1	0	30	12	11	13	5	1	0	0	0	0	1	20	3	6	7	9	0	5	10	16	3	11	10	0	2	2	4	0	3	4	1	0	0	2	300
real_0903222_2.tsv	0	0	0	7	1	0	0	22.8	6	2	2	1	0	0	0	0	0	0	3	4	3	2	3	0	2	6	7	3	6	0	0	0	0	0	0	0	0	0	0	0	0	114
real_0903222_2.tsv	0	0	0	4	2	0	0	28.75	6	4	6	0	0	0	0	0	0	0	9	5	3	2	1	0	2	11	6	5	2	1	1	0	3	2	0	0	2	0	0	0	3	115
real_0903222_2.tsv	7	0	0	88	78	10	3	34.93023255813954	91	10	55	9	8	1	0	6	0	1	140	69	36	57	28	24	7	104	58	38	25	18	5	8	19	14	0	0	4	19	4	1	25	1502
real_0903222_2.tsv	4	0	0	43	10	0	0	31.363636363636363	19	9	20	2	2	0	0	3	0	0	33	6	3	2	7	3	2	9	11	3	7	8	0	0	3	0	0	1	2	4	2	1	4	345
real_0903222_2.tsv	0	0	0	21	1	0	0	38.25	9	0	6	0	1	0	0	3	0	0	6	0	1	3	1	0	0	7	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	153
real_0903222_2.tsv	1	0	0	17	20	2	0	20.285714285714285	18	0	11	3	0	3	0	1	0	4	13	4	6	3	13	0	3	15	18	7	7	8	0	0	3	1	0	0	0	6	0	0	2	284
real_0903222_2.tsv	6	0	0	41	29	4	1	34.473684210526315	25	13	34	2	4	0	0	0	0	3	51	7	1	4	8	2	8	28	35	7	17	11	0	1	20	6	0	1	11	2	1	0	4	655
real_0903222_2.tsv	2	0	0	31	8	1	3	29.142857142857142	25	3	13	1	0	0	0	0	0	2	28	10	11	19	11	9	10	28	30	12	16	14	4	2	3	0	0	0	0	5	4	1	5	408
real_0903222_2.tsv	2	0	0	10	3	0	0	20.6	19	1	7	1	0	0	0	0	0	0	12	1	3	1	7	0	3	8	11	2	11	0	0	0	4	1	0	0	0	0	0	0	3	206
real_0903222_2.tsv	7	0	0	32	15	10	0	16.09090909090909	22	10	30	1	1	1	1	11	0	3	51	19	10	15	18	9	10	31	33	18	16	22	0	1	10	4	0	3	1	7	4	0	7	531
real_0903222_2.tsv	3	0	0	60	14	0	0	43.75	6	3	39	0	0	0	0	0	1	2	32	21	10	12	29	0	11	25	46	5	35	9	0	0	13	2	0	0	1	14	0	0	6	700
real_0903222_2.tsv	1	0	0	4	12	0	0	17.545454545454547	18	4	6	1	0	0	0	0	0	3	17	4	1	4	5	1	2	17	8	4	3	18	0	0	3	2	0	0	3	0	0	1	0	193
real_0903222_2.tsv	12	0	0	24	16	6	1	21.954545454545453	49	3	17	2	0	0	0	1	0	5	37	11	8	11	10	4	8	24	27	5	21	8	0	0	10	6	0	1	2	4	0	0	3	483
real_0903222_2.tsv	1	0	0	22	7	1	0	53.8	24	1	9	2	1	0	0	0	0	2	20	7	2	7	3	5	0	19	5	7	9	2	1	1	1	3	0	0	1	7	0	1	1	269
real_0903222_2.tsv	4	0	0	19	18	1	0	34.5	42	4	11	2	0	0	3	3	0	2	39	3	1	3	6	3	3	14	20	7	14	2	0	2	4	5	0	1	1	3	2	0	1	414
real_0903222_2.tsv	15	0	0	28	11	0	0	37.142857142857146	14	2	7	0	0	0	0	0	0	0	11	6	1	9	1	6	1	17	7	8	9	5	0	0	3	1	0	0	1	5	5	0	1	260
